teaching,teaching.1,coursecontent,coursecontent.1,examination,Examination,labwork,labwork.1,library_facilities,library_facilities.1,extracurricular,extracurricular.1
1,Cooperative nature of teachers makes it easier for better learning,-1,I expect the content to be raised to the standard which is required,1,Exams are standardized  enough to meet the qualification requirments.,1,"Excellent lab work,  assignments were carried on successfully.",-1,Not upto the mark at which labwork is being done. ,1,Activities are taken after properly. 
-1,More hard work required,1,Contents are quite informative,-1,Supervisors are needed ,-1,Internet problems are seen,1,Good management ,1,"Staff are familiar with activities and well versed
"
1,The instructor made good use of examples and illustrations,-1,The instructor was not interested in course.,-1,what the instructor taught and what comes up in the exam are not similar,-1, management is not good enough according to the amount they charge,0,the seating arrangement is good but too noisy. ,-1,not enough time for doing this 
-1,Not good,-1,very bad,0,average,-1,very bad,1,great,-1,disgusting
0,Teachers are highly qualified but they should devote more time to students,1,Includes various concepts which are explained thoroughly. ,-1,Should be conducted in a non chaotic way. ,0,Labwork is done properly but assignments need to be upto the marks. ,1,No objections to such good facilities.,1,Are given importance equivalent to curricular activities.
1,The instructor Always made sure everyone understand explanations ,-1,The course content is not precise and module as a whole is not very well delivered ,1,"The clarity of the material provided and the simplicity and the breaking down
in the handouts",,Goals were achieved ,1,provide opportunities to learn procedural skills,0,The execution of academic contents like frankness and clarity in language But creativity and innovation is not supported 
1,The instructor was available for individual discussion.,1,I learned a lot from taking this course component.,1,the question appeared in the exam are good and easy,-1,the teachers unable to communicate in proper language,-1,The library staff is  not helpful,1,The  staff is very cooperative.
1,Interactive lectures are conducted by staff.,-1,Some other courses can be added.,-1,Exams aren't started on time,1,Good contents and enthusiastic staff members.,-1,Librarian can't handle other than English language ,1,Environmental friendly activities are conducted.
-1,They need to develop a friendly nature towards learners.,1,Highly rated content.,-1,Includes odd questions which have no importance.,-1,Needs to be conducted in a teamwork. ,0,"Facilities are satisfactory, but need to be improved.",-1,Inadequate response paid towards it. 
-1,The instructor was  not available for individual discussion,0,the course content is too easy but don't explain it nicely,-1,they don't give enough time to complete the paper,-1,Infrastructure and Lab facilities are not good,1,library facilities are too good for preparing for exam.,1,The staff for curricular activities is good and helpful
1,Precise lecture notes and interesting contents.,1,Courses are Knowledgeable.,-1,Practical exams arent conducted well,1,Case study classes are very interesting.,1,Good maintaining and management skills of the members in library.,0,There are activities conducted but they aren't as per our expectations.
1,All teachers are really well experienced and resourceful,-1,The course component was stimulating.,-1,The topics and assignments were at an appropriate level of difficulty.,1,They are very friendly and supportive,-1,facilities are not good at exam time,1,The staff is very supportive
1,Good ,0,Neutral ,1,Excellent ,0,Good ,0,Improvement needed ,0,Well
-1,Not on time,1,awesome,0,ok ok,-1,Very bad infrastructure,1,Good quality books,-1,Much needed!!!!
1,Presentation skills are well.,1,Excellent courses,-1,Timetable aren't updated,1,Discussion are carried out for understanding purpose.,1,Outstanding facilities.,-1,Practical knowledge isnt applied.
1,Teachers are ready to teach students not only in classes but available to clear doubts in their free time,1,the courses is easy to understand,-1,question appeared in are not from syllabus,-1,Equipment in the lab are not in good working condition,1,The prescribed books and  reading materials are available in the library,1,the staff is very cooperative
1,Well understandable concepts,-1,Need to work on contents,1,Okay!!,1,Well maintained!!,1,I am satisfied by facilities and some books contents.,-1,Encouraging and focus needed on sports skills.
1,Well planned and timely teaching is carried .,-1,No need of Extra courses,1,Well versed,-1,Chairs in the labs aren't good,-1,Some books arent being ordered even after instructing librarian.,-1,"Other than sports some extra curricular activities like competition in Fields of coding ,IoT should be included."
0,average,1,course content is excellent,-1,pattern needs to improve a lot,-1,very bad infrastructure,1,very good,1,very effective
1,The teacher interacted with whole class .,1,The content taught was easy to understand.,1,The teacher shared  important points in course for exam.,1,Lab practicals was taken very good ,1,We got lot of books in library.,1,Lot of activities we're conducted .
-1, the teachers prepare for the classes are very poorly,1,The syllabus of each course was not challenging,1,able to write answers in that given time ,-1,Reading material regarding praticles is not available,-1,the library material and facilities are very poor,1, material regarding extra activities is easily available
-1,very bad,0,good but needs to be improved,1,very goooooddddd pattern,-1,needs to be improved,1,books are good. infrastructure is awesome,-1,not sufficient
-1,Teacher has less knowledge of their own subject.,1,Good,1,Awesomemeeee,1,Mind blowing!!!!!,1,Superbbbbbb,1,Amazinggg
1,Very creative lectures ,-1,Not satisfied,-1,Boring,1,Interesting,1,Really amazing,1,Expertise required!!!!!
1,Good teaching techniques ,0,Nice notes and easy to understand ,1,Always important to check what one has learned ,0,Practicals are very very important for each n every student. ,-1,There should be always someone who should suggest you what to read and understand person,1,"Very important to build overall personality 
"
1,This is a magnificent academy with excelllent teachers,-1,Background for benefiting from the courses was noot goood,-1,can able to write answer without reading ,-1,the equipments in lab are not in good condition ,1,nice atmosphere for studying,1,staff is not cooperative
1,Nice teaching,1,Good,1,Perfect plans,1,Interesting,1,Good,1,Mind blowing!!!!
1,teaching is good,0,not completed on time,-1,poor,1,very good labwork,1,excellent,1,many activities taken
-1,not good,0,average completion of course,-1,very critical,0,not too good,1,books provided are very useful,0,no more time to extra activities
0,not too good,1,all the things get covered,0,easy,0,assignments are critical to understand,1,very good,0,always helpful
-1,teaching is not good,0,completion is always late,-1,exams were  very hard,1,assignments completed on time,1,awesome experience,0,medium
1,very good,1,whole syllabus covered in time,1,was too easy,1,excellent labwork,1,always helpful,1,activities are conducted in large amount
0,points are not understandable,0,somehow completed,0,exams was easy,0,not much good,1,awesome,1,always conducted and helpful
-1,hard to understand,-1,not helpful for exams,-1,very critical,0,tough syllabus in labwork,0,always helpful and good,0,not supportive to extracurricular
-1,Slow voice so it's not that audible,1,Up to mark,1,Satisfactory,1,Well enoughhhh!!,1,Awesommemeeeee,1,Activities full of excitementt
1,Good,1,Okay,1,Gud,-1,Not happy...With labs ,-1,Magazines aren't available,1,Sportinesss
-1,Not gud behavior,1,Well versed,1,Okayyy....,1,Well enough,1,Okay,-1,Can be more better
1,Excellent explaination ,1,Happy with courses ,1,Niceee,1,Perfecttt,1,Niceee,0,Its gud but Can add some more activities 
1,Well planned and nice skillssss,-1,Not well versed ,1,Okay,1,Clear labs !!!!,-1,Language and communication problems are faced many times...,1,Quite excitiing
-1,very bad and hard to understand,0,helpful courses provided,0,pattern was hard,1,appreciable,-1,not good,0,always conducted
1,Quite impressive teaching,1,Great courses ,1,Easy examination due to planned courses,1,Awesome management and teaching,1,Great staff coordination,1,Amazing!!!!!
0,Gud but Not much satisfied ,-1,Irrelevant,-1,Out of syllabus questions,-1,Not that gud labs,-1,Unclean librarry,1,Awesomeeee activities held in college
-1,More Hard work required regarding concepts clearing,1,Okay,1,Okay,1,Okay,-1,Can do Better ,1,Niceee
1,Awesome teaching skills,1,Nice,1,Wonderfullll,1,Happy with lab guide,1,Amazing,1,Gudd
1,Low voice,1,Okay,1,Nicer,0,Okay but isn't that clean and gud,-1,No proper guidance,1,Perfectt
0,teaching  is neutral,1,innovative courses,0,very good,0,manuals are not completed,0,nice,1,helpful and enjoyable
1,teaching is good,-1,not covered in time,0,questions were hard to understand,0,lab work is good ,1,excellent functionalities are provided in library,0,better to enjoy
-1,very bad teaching,0,completed till the date,1,very good,1,nice and helpful,0,all the requirements get fulfill,0,helpful n encouragable
1,teaching is excellent,-1,not completed ,0,not so good,0,assignments were completed in time,0,good facilities,1,always helpful
-1,is not good,0,completed in time,1,exams was too tough,1,assignments were too hard,-1,not good,1,excellent
0,teaching is understandable,1,very good,0,good,1,awesome,-1,not good,1,nice activities taken
1,Teacher was good.,1,Good coursecontent. It was informative,1,Disciplined and strict examination,0,Good,1,Good,1,Good and necessary extracurricular provided
0,Explains well but unable to write content on blackboard,1,Good,0,Exams schedule is good but can be done much better,1,Laboratories are well infrastructured but some pc are not working,1,Awesome and great,-1,No extra  curricular activities are conducted
1,Easily available and understandable notes,-1,Interaction needed,-1,Poor printing,1,Avg,1,Gudd,1,Excitement for activities is unending
1,Not only taught as per syllabus but extra knowledge shared too,1,Very Helpful,1,Gud,1,Interesting lab tasks:),1,Report is maintained for each book issued and easy to search any of the books,1,Very stimulating team conducting activities which attracts us to participate!!!!!!!
1,Always willing to explain,1,Excellent course!,1,Very clearly organised,1,Really focused training faculty.,1,Effevtive plan and rules for our ease,1,Many activities along with fitness and music are conductedd
1,Easy to learn and make notes ,1,Goooooooooddd,1,Okay,1,Gr888,1,Nice interaction with librarian ,1,Presentation skills get developed due to extra curricular activities!!
1,Gr8 lecturers with perfect knowledge,-1,Too much syllabus,-1,Out of syllabus questions asked ,1,More than expectations,1,Interesting eg to understand easily,1,Many activities conducted
1,Many ideas are shared for logic development,1,Perfecttt,1,Its gr8,1,Nycc,1,Incredible ,-1,Need to encourage more students for participation via poster or speech....
1,Noteworthy lectures and can't forget those days,1,Appreciable course contents,1,Gr8 going,1,Honourable work carried,1,F9,1,Marvelous
1,"Good reasoning sessions,very helpful",1,Phenomenal,1,Proper exams are conducted ,1,Expertise faculty needed for concept clearing,1,Amazing ,0,Not that satisfied by management 
1,Always well prepared,1,Good,1,Nyccc,1,Interesting assignments for interest development,1,Very knowledgeable books .....,1,Perfect in everyy aspects
-1,Efforts needed in presentation skills,1,Very amazing courses,1,Well structured,-1,Manuals are difficult to understand!!!!,1,Nice books for referening,1,Awesomeeeee activities
1,Staff have many ways to explain  so it's easy to understand,1,Outstanding,1,Gr88,1,Okay,-1,Complications faced with language and communication,1,Always having something positive to explain
1,Well teaching ,1,Good ,1,Nice ,1,Outstanding,1,Interesting ,1,Can take us towards higher aspects of thinking and learning
1,Enthusiastic teacher,1,Nicer,1,Out of sllybus is asked ,-1,Not that gud,-1,Not that good,1,Woowwww
1,Quite punctual,1,Helpful courses ,-1,Not that easy,-1,Requires for brain development skills like coding,-1,Less no of books ,1,One of the best platform to explore !!!!!
1,Happy with teaching stuff.....,1,Gud,1,Fabbb,1,Fabbb,1,Insufficient books ,-1,Can do better
-1,Excellence in performing is required,-1,Too many courses,1,Good,1,Sufficient practice is conducted ,1,Awesoooooome,1,Wonder-fullll
1,Hard working staff,1,Well versed ,1,Nice,1,Good,-1,Not that descent ,1,Cool
-1,not,0,completed within time,-1,not good,0,excellent,-1,very bad,0,helpful and good
0,Average in explanation,1,Cool,1,Easy to score,-1,Interest could be developed more,1,Nice,1,Good enoughhhh .....
1,teaching is very good,0,not completed,0,complex and hard questions,1,satisfactory lab work provided,1,library facilities are very good,0,always held motivational activities 
1,Great jobbbb,1,Excellent,1,Gooddd,1,Nice,1,Perfectly done ,1,Better than before 
0,expectations not fulfilled,1,courses are relevant to syllabus only,0,exams were hard,-1,lab work is not satisfactory,0,excellent,-1,not conducted
1,Best technical knowledge,-1,Course content is too much,1,Okay,1,Nice,1,Perfect,0,All is fine but they shouldn't force anyone to participate
0,teaching is not good,0,very good,-1,very hard,1,manuals are not completed,0,extra books are provided,0,usually extra curricular activities takes place
1,Amazing ways to learn & explore ,1,Gr8,1,Fine,1,Great teaching,1,Well comfortness to learn and handle books,-1,More events or gaming can be included
1,Well versed and experience is gud,1,Nice ,1,Good,1,Labs are clean and well maintained,1,Gud one ,-1,Boring games 
0,Okay but can change some ways to teachh,1,Superb,1,Outstanding,1,Amazing,1,Nicee,1,Sufficient for knowledge and enjoy
1,excellent teaching,0,relevant courses are in teaching,0,very hard,0,not satisfactory,1,library facilities are very good,-1,priorities are not given to extra curricular activities
0,required points are covered,-1,courses are not completed,0,hard numericals,0,assignments are  easy to understand,-1,not good,0, games given as top priority
1,excellent teaching provided,0,courses completed in time,1,excellent,0,practicals are conducted regularly,1,books re not available on time,1,sports is positive attribute
0,not understandable,-1,not easy to learn,0,very hard,-1,assignments completed in time,1,high amount of books provided,-1,not in count
-1,very bad,0,courses are completed ,0,very hard to understand the questions,0,labs are very good,0,facilities are excellent,0,not conducted
-1,poor teaching,1,courses are conducted in time,-1,exams were very tough,1,manuals are completed in time,1,books provided are useful,-1,not conducted
-1,teaching is not good,0,completed in time,0,the exam was good,1,useful assignments taught by teacher,1,very nice,0,in average with education
1,Well prepared teachers,1,Gives the basic knowledge of every thing.,1,Good,0,Can be more experimental,1,Good,1,Excellent
0,Concept wise okay,1,Contents are well delivered,1,Amazing,1,Fabbbbb,1,Cooolll,1,Gudd
0,Can be more interactive,-1,Does not give enough time to develop skills.,-1,Examination does not test skills.,1,Labwork gives more practical knowledge,-1,Requires more books from international renounced authors.,-1,Bad
1,Fine ,1,Okayyz,1,Perfect,1,Okay,1,Okay,1,Niccer
-1,Handwriting can't be understood,1,Well planned,1,Fy9,1,Its nice to learn in labs ,1,Facilities are well taken care of ,1,All fields extra curricular included which increases the interest
-1,Worst concepts,1,Okay,1,Okay,1,Quite easy to understand sessions,1,Nice,1,Perfect one!!
0,good but skills can be improved in pronunciation,0,better than before but it can be improved more,-1,pattern is not satisfactory,-1,needs to improve,1,very good facilities,0,some activities are good but some are bad
-1,needs to improve a lot,1,its the best course ,0,ok ok,0,average,-1,books are not of good authors,1,best college for co curricular activities
1,Excellent teaching,1,Awesome ,1,Best,1,All apparatus are well maintained,1,Everything is good ,1,Interesting 
1,My goodness how impressive!!,1,Good course,1,Remarkable,1,Excellent labs ....,1,Facilities are quite satisfactory,-1,Less attention is paid to extra curricular
0,can improve the way of explanation,-1,its rubbish.... how could one design such a worst curriculam,-1,very bad examination pattern,0,its average when we talk about pc,1,very good library facilities,1,best college for extra co curricular activities
1,awesome teachers,1,With the new technologies course is evolving ,1,it takes good effort to give exams. question level is  moderate,-1,must be repaired since it has leakages on the roof,0,some books are good,-1,no extra curricular activity like art is happening
-1,technologywise improvement must happen,0,average in some subjects,1,pattern is well structured,-1,machines are not upgraded,1,good in terms of programming subjects,-1,no extra curricular activity is conducted
1,Dedicated score,1,Courses are knowledgeable.,1,Gr88,-1,Communication problem,-1,Timing are not convenient ,-1,International level competition should be included
1,Best in the world,1,Okay okay,-1,Practicals are not conducted well,1,Complicated place to work,-1,Books are too old to read,1,All is well
0,teaching is  good,-1,irrelevant courses ,0,was too critical,0,assignments are completed before time,-1,books are provided,0,games are the first priority
1,Very funny person ,1,Courses aren't updated,-1,Intellectual needed ,1,Sufficient space ,1,Great,1,Effective ways for knowledge sharing
-1,not good,1,completed with good knowledge,1,excellent,0,good enough,-1,not good,0,mostly arranged
1,excellent,1,very good and understandable,1,good and solvable,1,assignments are easy to learn,1,different books are provided,1,sports competitions held
1,Awesom,1,Happy with courses,1,Gud,1,Kinda cleanliness needed,1,Rocking,1,Fabbbbb
1,Having fun to learn new things,1,Satisfied with contentss,1,Gud 1,1,Niceeeeee,1,Gr8,-1,Not that muchh interesting 
1,Strong points and fair enough as per exms,1,Okay,1,Nice,1,Happy with labs and practicals,-1,Books timing should be increased,1,Fine
-1,Hard work regarding notes isn't that up to mark,1,Quite better,1,Btter,1,Awesome and interest seeking labs,1,Facility in library are mind blowing even story books are available,1,Various competition are conducted to develop our confidence and interest
1,Teachers are very helpful anytime and any day always !!!,-1,Contents are too heavy to understand,-1,Sometimes too many exam bring stress in life,1,"Labs are best for knowledge sharing and practical approach.
",1,Well organized library including cleanliness,1,Very much activities for students to explore
1,Very nice technique and quality experience,1,Perfectt,1,Awesomeee,1,Nice,1,Okay,1,Mind blowing activities for entertainment!!!!!!!
0,Well satisfied as per our results but can do much better regarding explanation,1,Nicer,1,Goooooood,1,Fine,1,Gr88888888,1,Fantastic 
-1,Can't handle the class full of too many students,1,Well versed,1,Fine,1,Just okay okay,1,Nice,1,Its a moment where we can prove ourself!!
0,teacher.... are punctual but they should also give us the some practical knowledge other than theortical,0,content of courses are average,1,<title>studies exams examination pattern doesn't good,-1,"not satisfactory, lab work must include latest technologies",0,library facilities are good but number of books are less,1,extracurricular activities are excellent and provides best platform to students.
1,not Good ,-1,Not good,1,Good,1,Good ,-1,Not good ,1,Good 
1,Excellent lectures are delivered by teachers and all teachers are very punctual.,1,All courses material provide very good knowledge in depth .,1,"Exam pattern is up to the mark and the Cgpa depends on the various marks distributions like ca, mte etc which is very nice as compare to other institutions. Paper checking does not depend on length of ques but on the material which is the best part of it.",1,Lab work is properly covered in the labs by the faculty and evaluations help to learn more practical knowledge in depth. ,1,Library facilities are excellent in terms of good techniques that are used over there.,1,Extra curricular activities also help students to divert their mind from their study for some time. University plays an important role in this task.
1,Good,-1,"Content of course is perfectly in line with the teaching philosophy that is being perpetuated here i.e cramming,rote learning.",-1,Again the university tests students of their ability to memorize stuff. Questions should emphasize more on concepts rather than testing brain's cramming storage house.,1,Good,0,"Its the best thing i have seen in this university,albeit the behaviour of library staff is unprofessional at times. They are whimsically rude.",-1,Complete wastage of time. Again this opinion is strictly personal and may not coincide with others.
1,teachers give us all the information required to improve the performance.,1,content of courses improves my knowledge,1,examination pattern is good,1,practical work provides detail knowledge of theoretical work,1,library has huge collection of books from different authors,1,extracurricular activities increases mental and physical abilities
1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
1,good and punctual,1,Good,1,Good,1,Good,1,Hardworking,0,No views
1,It is good,1,This semester university has provide best teachers ,1,I like the question pattern,1,Everything is going fine in lab . learning new things. That is good for us,0,I am satisfied with the facilities but few books are limited of  database distribution ,0,No idea about the extracurricular activities. 
1,Good,-1,Needs some improvement,1,Good,1,Good,-1,Its required some libral in rules,1,Good it provides a great platform
1,Good,-1,Needs some improvement,1,Good,1,Good,-1,Its required some libral in rules,1,Good it provides a great platform
1,It's good when compare with my Btech lectures and teaching activities.,0,Knowledge  and depth of the course  is good but while coming to the material it's not upto the mark.,1,"This university is far better than other university when coming to the exam pattern,marks disturbation and while coming to paper checking no biased corrections equal to all. ",-1,Lab and practical are not upto the mark. The topic which are practiced are almost already done in Btech.,1,Good,1,While coming to extracurriculum activities it's better than any other university which I had come around.
1,Good,0,"Knowledge,depth of course is good but course material are not upto the mark",1,Great,-1,Not upto the mark,1,Good,1,Awesome
1,way of teaching is good,1,course content is knowledgeable ,1,exam pattern is good and good paper checking.,-1,lab improves practical knowledge,1,good library facilities,1,ok
0,"University teaching here is very much dependent upon slides,though it is a easy way of teaching but still leaving some concepts unclear..otherwise interaction with the faculty is good.Lecture delivery sometimes is not upto the mark and punctuality is  fine. ",-1,Content of the courses is good but some courses need improvement. Course material is not upto the mark. ,0,Pattern and procedure of the examination is very good. Paper checking needed to be improved.,0,Sometimes systems at labs are screwed up .Otherwise everything is  at their respected desk.,1,Library facilities are very good. No issues ,1,This university is no1 in terms of extracurricular activities and in encouraging students to participate at their comfort levels. 
1,Good,1,Good,1,Good,1,Good,1,Hardworking,1,Good
1,Good ,1,Very good,1,Excellent ,1,Good,1,Good,1,Good
1,As compared to other colleges and university our university is perfect in all the aspects,-1,Material of the course is not good enough ,1,Good,1,Practical work is fair,1,Excellent,1,Great job
1,Good,-1,sometimes proper course material is not required.,1,Good,1,Good,1,Good,1,excellent
1,Lectures helps in clear our concept,1,Easily available course material with sufficient knowledge gaining,1,Good marks distribution Students can easily check there performance throught the semester,1,Practical and easy learning,1,Good,1,Its give various opportunities and exposure
0,"Talk about punctuality, it's really good but the lecture delivery is somehow not appreciated because every teacher has different style of teaching, so lack of knowledge in terms of subject is there and interaction is also kind of boring. A teacher should be entertaining as well but they are really not. All they want us to be studios and disciplined which is really not the thinking of every student.",1,"The materials or links provided for study purpose is good, clarity in depth of courses but again it differs from teacher to teacher.",0,"Exam pattern and how it is conducted is really seems to be good but it's my first year and when I went to scrutiny for the first time it was not as per my expectations. Teachers have marked the answers as per their choice, they must look for the content rather than the length of answers. So poor paper checking is there.",-1,"The evaluation is again bad for our CA, as one of our faculty is really weird. He gives us remarks on the basis of how we present things in front of it, he never look for the content of our answer, which is really annoying. As he expects us to deliver answer in the way he wants us to do. But how can a person do that, as people do have different mentality and they do explain themselves in different manner, so a teacher must understand that quality of a child and should give him marks on the basis of what they say not what they should say.",0,Again some of the faculties don't know how to behave otherwise it is good.,0,This is really a good thing that events happen in our university regularly but they must be announced early so that every student can prepare themselves for participation because sometimes we get to know about most of the events when they have already been conducted. So announcement must be there.
1,"University is very good at delivering proper lectures,also the interaction with students is descent. Sometimes the teachers lack in terms of punctuality but overall university is giving a good input. ",1,The course notes are very knowledgeable and proper.,1,Descent.,1,Good.,1,Descent.,1,Good.
1,Good,1,Good,1,Excellect,1,Good,1,Good,1,Good
1,Good,1,Good,1,Excellect,1,Good,1,Good,1,Good
1,lecturer are punctual and can interact them easily.,1,content of the courses are update and mostly based on current technology.,1,exam pattern and marks distribution is very well procedure,1,well and good infrastructure and have trending software in lab    ,1,library is very well managed and provide needed facilities to us,1,extracurricular activities held in university are necessary it provides student a platform where they can improve and groom them.
1,Good,-1,Needs some improvement,1,Good,1,Good,-1,Its required some libral in rules,1,Good it provides a great platform
1,Good,1,Good,0,Average,0,Average,1,They are doing there job well,1,Good
0,Punctuality is good. Most of the teachers are not interacting with students .,-1,Teachers are not giving depth of course . They trying to cover there work only .,1,It is statisfactory.,-1,3 hours practical is so long. It should be of 2 hours only ,-1,"Well... all the books are not avilable . If they are in library , books are in less number and strength of student are large.",1,They are really very intersting. All the students enjoys alot and get a chance to showcase there talent
1,Good,1,Good,1,Good,1,Good,1,Good,1,Good
1,nice,1,good,-1,not so good,1,ok ok,-1,all books are not available,1,Awesome
-1,lecture delivery is not so good,1,every thing is fine,1,all good,-1,practicle must be of 2 hours,-1,the system in library usually does not work . so it creates a problem for us to issue the book,1,its good for refreshment 
1,It's good,1,It's appreciable,-1,"Not that much good 
Students are working so hard
But they aren't getting satisfactory result",1,"It's good 
Also depends on teacher's knowledge and student's interest",-1,"Sometimes only book is available for some subjects
And it is reserved",1,"It's appreciable
Students who are having interest in co curricular activities, getting a good platform"
1,"Discipline, punctuality , lecture delivery all are good but hv to do some work for quality of lecture",1,Satisfied,0,All are good except paper checking. It should be improved,1,All good,1,Its very helpful,1,All good
0,"Interaction is very good,accurate supplement material is provided but recommendation of books is very poor,the change of a particular teacher after 3 months or a semester of same subject causes problems",-1,The books that are recommended do not contain appropriate content; leads the students to depend on slides given by teachers. Hence the knowledge remains superficial,1,Overall all these things are the plus point of the university,0,Average ,1,"Awesome, peaceful, relaxing atmosphere",0,Good but lacks audience.....as only participants can see these activities on duty leave basis
1,Perfect,1,Awesome,1,Notbad,-1,Too much lanlb file work,-1,All books are not available,1,Perfect
1,It is really gud,1,It is proper,1,It is very gud,0,Evaluation method is gud.But the content is more to write in file,-1,I think number of books are very less according to the students .Only 2-3 copies are available.,1,All the activities are gud and appropriate for students
0,Very good teaching and management but too much load on student and working hours,1,Courses are very good and useful ,0,Examination pattern is good but marks distribution very confusing,1,excellent,1,good,1,very good
-1,in terms of lecture delivery that is good.in terms of punctuality that is also good but in terms of intraction that is very bad. There are some teachers they donot interact and do not litsn our problms that means they do not coprate.,1,Its good,1,"Exam pattren is good, marks distribution is also good bt paper cheacking is very tight.",1,Its good,1,Thats good,0,"Thats good but the problm is whenever in university the functions like one india, one world are held we are not alowed to go because we have to attend the classes and if we miss the classes we will gona loose the attendence and everyone knows in lpu attendnce is very important. 
Thanx"
1,According to me everything is going well in accordance to interaction.More than enough is served. ,1,Everything is fine. Every thing is taught in depth.Even a single point is elaborated enough to understand. ,1,Everything is fine. ,0,I think electrotherapy practical should be of 2 hours.That's enough I think.Rest is fine.,-1,I think stock is not enough more books are required. ,-1,Chance to go and enjoy should be given.I think it should be off when any activity like One India is there to go and enjoy.Otherwise everything is good. 
0,Very good teaching and management but too much load on student and working hours,1,Courses are very good and useful ,0,Examination pattern is good but marks distribution very confusing,1,excellent,1,good,1,very good
-1,not effective and satisfactory in terms of lecture delivery by all the faculty .,1,content is good enough,1,satisfactory ,-1,lab duration of 3 hours is very long . ,1,very cooperative ,-1,extracurricular activies should be held when there are no classes for the students to attend so that every student can enjoy and participate in the events
1,Good,1,Good,1,Good,0,Average,1,Nice,1,Good
1,Good,1,Good,1,Good,1,Good,1,Good,1,Good
1,Accurate,1,Accurate,1,Very good,1,Good,1,Satisfactory,1,Good
1,It's good,1,Accurate,1,Very good,1,It's good,1,Fine ,1,Good
1,Good,1,Perfect,1,Accurate,1,It's good,1,Fine,1,Good
1,it is good depending on the faculty,1,the material provided is beneficial and provides much knowledge,0,it is neither too good nor too bad,1,lab evaluations are pretty good .they help us a lot.,1,library facilities provided are excellent,1,they are amazing and help to boost our stamina.
